	Restaurant_Name	Address	Rating
3	Grand Sichuan	229 Ninth Ave.New York, NY 10001	12.0
4	Grand Sichuan	15 Seventh Ave. S.New York, NY 10014	12.0
5	Graziella's	232 Vanderbilt Ave.Brooklyn, NY 11205	12.0
6	Great Jones Cafe	54 Great Jones St. (Third St.)New York, NY 100	12.0
7	Green Kitchen	1477 First Ave.New York, NY 100	12.0
8	The Green Table	Chelsea Market75 Ninth Ave.New York, NY 100	12.0
9	GustOrganics	519 Sixth Ave.New York, NY 10011	12.0
0	HanGawi	12 E. 32nd St.New York, NY 10016	12.0
1	Hard Rock Cafe	1501 BroadwayNew York, NY 10036	12.0
2	Harry's Italian Pizza Bar	2 Gold St.New York, NY 10038	12.0
3	Haveli	100 Second Ave.New York, NY 10003	12.0
4	Haven 	244 E. 51st St.New York, NY 10022	12.0
5	Heartland Brewery	35 Union Sq. W.New York, NY 10003	12.0
6	Heartland Brewery	1285 Sixth Ave.New York, NY 10019	12.0
7	Henry's End	44 Henry St.Brooklyn, NY 11201	12.0
8	Historic Old Bermuda Inn	2512 Arthur Kill Rd.Staten Island, NY 10309	12.0
9	Hope & Anchor	347 Van Brunt St.Brooklyn, NY 11231	12.0
0	Hotel Tortuga	246 E. 14th St.New York, NY 10003	12.0
1	Houndstooth Pub	520 Eighth Ave.New York, NY 10018	12.0
2	Hummus Place	109 St. Mark's Pl.New York, NY 10009	12.0
3	Hummus Place	71 Seventh Ave. S.New York, NY 10014	12.0
4	Hunan Manor	339 Lexington Ave.New York, NY 10016	12.0
5	Hundred Acres	38 MacDougal St.New York, NY 10012	12.0
6	Ichabod's	15 Irving Pl.New York, NY 100	12.0
7	Il Gattopardo	13-15 W. 54th St.New York, NY 10019	12.0
8	Isabella's	359 Columbus Ave.New York, NY 10024	12.0
9	J.G. Melon	1291 Third Ave.New York, NY 10021	12.0
0	Jackson Diner	37-47 74th St.Jackson Heights, NY 11372	12.0
1	Jackson Hole	521 Third Ave.New York, NY 100	12.0
2	Jackson Hole	232 E. 64th St.New York, NY 100	12.0
3	Joe Allen	326 W. 46th St.New York, NY 10036	12.0
4	Joe's Ginger	25 Pell St.New York, NY 10013	12.0
5	Joe's Shanghai Restaurant	24 W. 56th St.New York, NY 10019	12.0
6	Joe's Shanghai Restaurant	136-21 37th Ave.Flushing, NY 11354	12.0
7	Joe's Shanghai Restaurant	9 Pell St.New York, NY 10013	12.0
8	John's	278 Bleecker St.New York, NY 10014	12.0
9	John's	Times SquareNew York, NY 10036	12.0
0	Johnny Mack's	1114 Eighth Ave.Brooklyn, NY 11215	12.0
1	Jules Bistro	65 St. Mark's Pl.New York, NY 10003	12.0
2	Juliette	135 N. 5th St.Brooklyn, NY 11211	12.0
3	Kiin Thai Eatery	36 E. 8th St.New York, NY 100	12.0
4	Kings Plaza Diner	4124 Ave. UBrooklyn, NY 112	12.0
5	Klimat	77 E. Seventh St.New York, NY 10003	12.0
6	Klong	7 St. Mark's Pl.New York, NY 10003	12.0
7	Kori	253 Church St.New York, NY 100	12.0
8	Kunjip	9 W. 32nd St.New York, NY 10001	12.0
9	L & B Spumoni Gardens	2725 86th St.Brooklyn, NY 11223	12.0
0	La Boite en Bois	75 W. 68th St.New York, NY 10023	12.0
1	La Boulangerie Lopez	675 Fifth Ave.Brooklyn, NY 11215	12.0
2	La Fusta	8032 Baxter Ave.Elmhurst, NY 11373	12.0
3	La Palapa	77 St. Marks Pl.New York, NY 10003	12.0
4	La Pizza Fresca	31 E. 20th St.New York, NY 10003	12.0
5	La Ripaille	605 Hudson St.New York, NY 10014	12.0
6	La Vara	268 Clinton St.Brooklyn, NY 11201	12.0
7	Lan Larb SoHo	227 Centre St.New York, NY 10013	12.0
8	Landmarc (at the Time Warner Center)	Time Warner Center10 Columbus Cir., Third FloorNew York, NY 10019	12.0
9	Lansdowne Road	599 Tenth Ave.New York, NY 100	12.0
0	L'asso	192 Mott St.New York, NY 10012	12.0
1	Lattanzi	361 W. 46th St.New York, NY 10036	12.0
2	Le Da Nang	75 Second Ave. New York, NY 10003	12.0
3	Le Marais	150 W. 46th St.New York, NY 10036	12.0
4	Le Petit Cafe	502 Court St.Brooklyn, NY 11231	12.0
5	Le Rivage	340 W. 46th St.New York, NY 10036	12.0
6	Le Singe Vert	160 Seventh Ave.New York, NY 10011	12.0
7	Le Viêt Café	1750 Second Ave.New York, NY 101	12.0
8	Lelabar	422 Hudson St.New York, NY 10014	12.0
9	The Lindeman	The OUT Hotel508 W. 42nd St.New York, NY 100	12.0
0	Lips	227 E. 56th St.New York, NY 10022	12.0
1	The Little Owl	90 Bedford St.New York, NY 10014	12.0
2	Lobby Lounge	Mandarin Oriental, New YorkTime Warner Center80 Columbus Cir.New York, NY 10023	12.0
3	Lodge	318 Grand St.Brooklyn, NY 11211	12.0
4	Lombardi's	32 Spring St.New York, NY 10012	12.0
5	Lomzynianka	646 Manhattan Ave.Brooklyn, NY 11222	12.0
6	London Lennie's	63-88 Woodhaven Blvd.Rego Park, NY 11374	12.0
7	Lucky Cheng’s	240 W. 52nd St.New York, NY 100	12.0
8	Lucky Strike	59 Grand St.New York, NY 10013	12.0
9	Lucy's Cantina Royale	1 Penn PlazaNew York, NY 10119	12.0
0	Luzzo's	211 First Ave.New York, NY 10003	12.0
1	Madangsui	35 W. 35th St.New York, NY 10001	12.0
2	Madiba	195 DeKalb Ave.Brooklyn, NY 11205	12.0
3	Madison Bistro	238 Madison Ave.New York, NY 10016	12.0
4	Maison Hugo	132 E. 61 St.New York, NY 100	12.0
5	Malaysia Grill	224 W. 104th St.New York, NY 10025	12.0
6	Mapo Tofu	338 Lexington Ave.New York, NY 10035	12.0
7	Marchi's	251 E. 31st St.New York, NY 10016	12.0
8	Mario's	2342 Arthur Ave.Bronx, NY 104	12.0
9	Market Cafe	496 Ninth Ave.New York, NY 10018	12.0
0	Mary's Fish Camp	64 Charles St.New York, NY 10014	12.0
1	Max Soha	1262 Amsterdam Ave.New York, NY 10027	12.0
2	The Meatball Shop	84 Stanton St.New York, NY 10002	12.0
3	The Meatball Shop	64 Greenwich Ave.New York, NY 10011	12.0
4	Medi Wine Bar	811 Ninth Ave.New York, NY 10019	12.0
5	Mercato	352 W. 39th St.New York, NY 10018	12.0
6	Merchants NY	112 Seventh Ave.New York, NY 10011	12.0
7	Meskerem	124 MacDougal St.New York, NY 10012	12.0
8	Meson Asturias	4012 83rd St.Elmhurst, NY 11373	12.0
9	Mexican Radio	19 Cleveland Pl.New York, NY 10012	12.0
0	Mexicana Mama	525 Hudson St.New York, NY 10014	12.0
1	Milon Bangladesh	93 First Ave.New York, NY 100	12.0
2	Minca	536 E. Fifth St.New York, NY 10009	12.0
3	Mint	150 E. 50 St.New York, NY 10022	12.0
4	Miriam Restaurant	79 Fifth Ave.Brooklyn, NY 11217	12.0
5	Molly's Pub & Shebeen	287 Third Ave.New York, NY 10010	12.0
6	Morgane	340 Bedford Ave.Brooklyn, NY 11211	12.0
7	Moutarde	239 Fifth Ave.Brooklyn, NY 11215	12.0
8	Mr. Chow	324 E. 57th St.New York, NY 100	12.0
9	Nagomi	179 Prince St.New York, NY 10012	12.0
0	Naka Naka	458 W. 17th St.New York, NY 10011	12.0
1	Nam	110 Reade St.New York, NY 10013	12.0
2	Nam Son	245 Grand St.New York, NY 10002	12.0
3	Nana	155 Fifth Ave.Brooklyn, NY 11217	12.0
4	Nanoosh Mediterranean Hummus Bar	2012 BroadwayNew York, NY 10023	12.0
5	Nanoosh Mediterranean Hummus Bar	111 University Pl.New York, NY 10003	12.0
6	New York Noodletown	28 1/2 Bowery St.New York, NY 10013	12.0
7	Nick's	1814 Second Ave.New York, NY 10128	12.0
8	Niu Noodle House	15 Greenwich Ave.New York, NY 10014	12.0
9	Noho Star	330 Lafayette St.New York, NY 10012	12.0
0	Nu Sushi	76 Pearl St.New York, NY 10004	12.0
1	O Mai	158 Ninth Ave.New York, NY 100	12.0
