	Restaurant_Name	Address	Rating
0	Maggiano's Little Italy	5333 Wisconsin Ave.Washington, DC 20015	13.0
1	Martin's Tavern	1264 Wisconsin Ave. NWWashington, DC 20007	13.0
2	Marvin	2007 14th St. NWWashington, DC 20009	13.0
3	matchbox american kitchen + spirits	1901 14th St. NWWashington, DC 20009	13.0
4	matchbox american kitchen + spirits	713 H St. NWWashington, DC 20001	13.0
5	Montmartre	327 Seventh St. SEWashington, DC 20003	13.0
6	Morton's The Steakhouse	1050 Connecticut Ave. NWWashington, DC 20036	13.0
7	Morton's The Steakhouse	3251 Prospect St. NWWashington, DC 20007	13.0
8	Nage Bistro	Courtyard Washington Embassy Row1600 Rhode Island Ave. NWWashington, DC 20036	13.0
9	Occidental Grill & Seafood	1475 Pennsylvania Ave. NWWashington, DC 200	13.0
0	The Palm	1225 19th St. NWWashington, DC 20036	13.0
1	The Partisan	709 D St. NWWashington, DC 200	13.0
2	Peacock Cafe	3251 Prospect St. NWWashington, DC 20007	13.0
3	Pete’s New Haven Style Apizza	4940 Wisconsin Ave. NWWashington, DC 20016	13.0
4	Petits Plats	2653 Connecticut Ave. NWWashington, DC 20008	13.0
5	Pizzeria Paradiso	2003 P St. NWWashington, DC 20036	13.0
6	Pizzeria Paradiso	3282 M St. NWWashington, DC 20007	13.0
7	The Prime Rib	2020 K St. NWWashington, DC 20006	13.0
8	The Regent Thai Cuisine	1910 18th St. NWWashington, DC 20009	13.0
9	Rice	1608 14th St. NWWashington, DC 20009	13.0
0	Ristorante Tosca	1112 F St. NWWashington, DC 20004	13.0
1	Ruth's Chris Steak House	1801 Connecticut Ave. NWWashington, DC 20009	13.0
2	Ruth's Chris Steak House	Washington Convention Center724 9th St. NWWashington, DC 20001	13.0
3	Scion	2100 P St. NWWashington, DC 20037	13.0
4	Sea Catch Restaurant & Raw Bar	1054 31st St. NWWashington, DC 20007	13.0
5	Slate Wine Bar + Bistro	2404 Wisconsin Ave. NWWashington, DC 200	13.0
6	Sorriso Bar, Pizzeria & Ristorante	3518 Connecticut Ave. NWWashington, DC 20008	13.0
7	Spices Asian Restaurant & Sushi Bar	3333-A Connecticut Ave. NWWashington, DC 20008	13.0
8	Tadich Grill	1001 Pennsylvania Ave. NWWashington, DC 200	13.0
9	Taqueria Distrito Federal	3463 14th St. NWWashington, DC 20010	13.0
0	Thunder Burger & Bar	3056 M St. NWWashington, DC 20007	13.0
1	Tortilla Coast	1460 P St. NWWashington, DC 20005	13.0
2	Town Hall	2340 Wisconsin Ave. NWWashington, DC 20007	13.0
3	2 Amys	3715 Macomb St. NWWashington, DC 20016	13.0
4	Vinoteca	1940 11th St. NWWashington, DC 20001	13.0
5	Woodward Table	Woodward Bldg.1426 H St. NWWashington, DC 20005	13.0
6	Zengo	781 Seventh St. NWWashington, DC 20001	13.0
0	Acadiana 	901 New York Ave. NWWashington, DC 20001	14.0
1	Agora	1527 17th St. NWWashington, DC 20036	14.0
2	Al Dente	3201 New Mexico Ave. NWWashington, DC 20016	14.0
3	Alba Osteria	425 I St. NWWashington, DC 20001	14.0
4	Ambar	523 8th St. SEWashington, DC 20003	14.0
5	Ardeo	3311 Connecticut Ave. NWWashington, DC 20008	14.0
6	Art and Soul	The Liaison Capitol Hill415 New Jersey Ave. NWWashington, DC 20001	14.0
7	Belga Cafe	514 Eighth St. SEWashington, DC 20003	14.0
8	Birch & Barley	1337 14th St. NWWashington, DC 20005	14.0
9	Bistro Bis	The George, A Kimpton Hotel15 E St. NWWashington, DC 20001	14.0
0	Bistrot Lepic & Wine Bar	1736 Wisconsin Ave. NWWashington, DC 20007	14.0
1	BlackSalt Restaurant	4883 MacArthur Blvd. NWWashington, DC 20007	14.0
2	BLT Steak	1625 I St. NWWashington, DC 20006	14.0
3	The Bombay Club	815 Connecticut Ave. NWWashington, DC 20006	14.0
4	Cafe Milano	3251 Prospect St. NWWashington, DC 20007	14.0
5	Cafe du Parc	The Willard Washington D.C., An InterContinental Historic Hotel1401 Pennsylvania Ave. NWWashington, DC 200	14.0
6	Carmine's	425 7th St. NWWashington, DC 20004	14.0
7	Central Michel Richard	1001 Pennsylvania Ave. NWWashington, DC 20004	14.0
8	Clyde’s of Gallery Place 	Gallery Place707 Seventh St. NWWashington, DC 20001	14.0
9	Clyde's of Georgetown	Georgetown Park3236 M St. NWWashington, DC 20007	14.0
0	Corduroy	1122 Ninth St. NWWashington, DC 20001	14.0
1	Cuba Libre Restaurant & Rum Bar	801 9th St. NWWashington, DC 20001	14.0
2	Daikaya	"705 6th St. NWWashington, DC 20001 | Menu

 |"	14.0
3	DBGB Kitchen and Bar	CityCenterDC931 H St. NWWashington, DC 200	14.0
4	Le Diplomate	1601 14th St. NWWashington, DC 20009	14.0
5	District Commons	2200 Pennsylvania Ave. NWWashington, DC 20037	14.0
6	doi moi	1800 14th St. NWWashington, DC 20009	14.0
7	El Centro D.F.	1819 14th St. NWWashington, DC 20009	14.0
8	Espita Mezcaleria	1250 9th St. NWWashington, DC 200	14.0
9	Et Voila!	5120 MacArthur Blvd. NWWashington, DC 20016	14.0
0	Fig & Olive	CityCenterDC934 Palmer Alley NWWashington, DC 20001	14.0
1	Firefly	Hotel Madera, A Kimpton Hotel1310 New Hampshire Ave. NWWashington, DC 20036	14.0
2	Floriana	1602 17th St. NWWashington, DC 20016	14.0
3	Fogo de Chão	1101 Pennsylvania Ave. NWWashington, DC 20004	14.0
4	Founding Farmers	IMF HQ2 building1924 Pennsylvania Ave. NWWashington, DC 20006	14.0
5	Georgia Brown's	950 15th St. NWWashington, DC 20005	14.0
6	Graffiato by Mike Isabella	707 6th St. NWWashington, DC 20001	14.0
7	The Grill Room	Rosewood Washington, D.C.1050 31st St. NWWashington, DC 200	14.0
8	The Hamilton	600 14th St. NWWashington, DC 20005	14.0
9	Hank's Oyster Bar	1624 Q St. NWWashington, DC 20009	14.0
0	Heritage India	2400 Wisconsin Ave. NWWashington, DC 200	14.0
1	Ici Urban Bistro	Sofitel Washington DC Lafayette Square806 15th St. NWWashington, DC 20005	14.0
2	Indique	3512 Connecticut Ave. NW, #14Washington, DC 20008	14.0
3	Iron Gate	1734 N St. NWWashington, DC 20036	14.0
4	Jaleo	"480 Seventh St. NWWashington, DC 20004 | Menu

 |"	14.0
5	Kellari Taverna	1700 K St. NWWashington, DC 200	14.0
6	L'Hommage Bistro Francais	450 K St. NWWashington, DC 200	14.0
7	Lupo Verde	1401 T St. NWWashington, DC 20009	14.0
8	Macon Bistro & Larder	5520 Connecticut Ave. NWWashington, DC 200	14.0
9	Makoto Restaurant	4822 MacArthur Blvd. NWWashington, DC 20007	14.0
0	Mango Tree	CityCenterDC929 H St. NWWashington, DC 200	14.0
1	Masa 14	1825 14th St. NWWashington, DC 20009	14.0
2	Matisse Cafe Restaurant	4934 Wisconsin Ave. NWWashington, DC 20016	14.0
3	Mintwood Place	1813 Columbia Rd. NWWashington, DC 20009	14.0
4	Momofuku CCDC	CityCenterDC1091 I St. NWWashington, DC 200	14.0
5	Mourayo	1732 Connecticut Ave. NWWashington, DC 20009	14.0
6	MXDC Cocina Mexicana	600 14th St. NWWashington, DC 200	14.0
7	New Heights	2317 Calvert St. NWWashington, DC 20008	14.0
8	Nooshi	1120 19th St. NWWashington, DC 20036	14.0
9	Nooshi	524 8th St. SEWashington, DC 20003	14.0
0	nopa Kitchen + Bar	800 F St. NWWashington, DC 20004	14.0
1	Notti Bianche	The George Washington University Inn824 New Hampshire Ave. NWWashington, DC 20037	14.0
2	The Oceanaire Seafood Room	1201 F St. NWWashington, DC 20004	14.0
3	Old Ebbitt Grill	675 15th St. NWWashington, DC 20005	14.0
4	Ottoman Taverna	425 I St. NWWashington, DC 200	14.0
5	Oyamel Cocina Mexicana	401 Seventh St. NWWashington, DC 20004	14.0
6	The Pig	1320 14th St. NWWashington, DC 20005	14.0
7	Range	Chevy Chase Pavilion5335 Wisconsin Ave. NWWashington, DC 20015	14.0
8	Rasika	633 D St. NWWashington, DC 20004	14.0
9	Rasika West End	1190 New Hampshire Ave. NWWashington, DC 20037	14.0
0	The Riggsby Fine Food + Drink	The Carlyle, A Kimpton Hotel1731 New Hampshire Ave. NWWashington, DC 200	14.0
1	RIS	2275 L St. NWWashington, DC 20037	14.0
2	Ristorante I Ricchi	1220 19th St. NWWashington, DC 20036	14.0
3	Roof Terrace Restaurant	The John F. Kennedy Center for the Performing Arts2700 F St. NWWashington, DC 20566	14.0
4	Rosa Mexicano	Terrell Place575 Seventh St. NWWashington, DC 20004	14.0
