	Restaurant_Name	Address	Rating
3	Tiburon Tavern	The Lodge at Tiburon: A Larkspur Hotel1651 Tiburon Blvd.Tiburon, CA 94920	12.0
4	Tonga Room & Hurricane Bar	Fairmont San Francisco950 Mason St.San Francisco, CA 94108	12.0
5	Troya	2125 Fillmore St.San Francisco, CA 94115 	12.0
6	Tub Tim Thai	510 Tamalpais  Dr.Corte Madera, CA 94925	12.0
7	Udupi Palace	1901 University Ave.Berkeley, CA 94704	12.0
8	Umami Burger	"2184 Union St.San Francisco, CA 94123 | Menu


 "	12.0
9	Urban Curry	523 Broadway St.San Francisco, CA 94133	12.0
0	Walzwerk	381 S. Van Ness Ave.San Francisco, CA 94103	12.0
1	Zazie	941 Cole St.San Francisco, CA 94117	12.0
0	123 Bolinas	123 Bolinas Rd.Fairfax, CA 949	13.0
1	54 Mint	16 Mint PlazaSan Francisco, CA 94103	13.0
2	A la Turca	869 Geary St.San Francisco, CA 94109	13.0
3	Al Masri	4031 Balboa St.San Francisco, CA 94121	13.0
4	Alamo Square Seafood Grill	803 Fillmore St.San Francisco, CA 94117	13.0
5	Albona Ristorante Istriano	545 Francisco St.San Francisco, CA 94133	13.0
6	Alegrias	2018 Lombard St.San Francisco, CA 94123	13.0
7	The Alembic	1725 Haight St.San Francisco, CA 94117	13.0
8	Alfred's Steakhouse	659 Merchant St.San Francisco, CA 94111	13.0
9	Alice's	1599 Sanchez St.San Francisco, CA 94110	13.0
0	Alioto's No. 8	8 Fisherman's Wharf, at the bottom of TaylorSan Francisco, CA 94133	13.0
1	Alta CA	1420 Market St.San Francisco, CA 94102	13.0
2	Amarena	2162 Larkin St.San Francisco, CA 941	13.0
3	Amber Dhara	150 University Ave.Palo Alto, CA 94301	13.0
4	Amelie Le Bar à Vin	1754 Polk St.San Francisco, CA 94109	13.0
5	Americano Restaurant & Bar	Hotel Vitale8 Mission St.San Francisco, CA 94105	13.0
6	Ananda Fuara 	1298 Market St.San Francisco, CA 94102	13.0
7	Angelino Restaurant	621 BridgewaySausalito, CA 94965	13.0
8	Angelo Mio	820 Santa Cruz Ave.Menlo Park, CA 94025	13.0
9	Angkor Borei Restaurant	3471 Mission St.San Francisco, CA 94110	13.0
0	Anzu	Hotel Nikko San Francisco222 Mason St.San Francisco, CA 94102	13.0
1	Aperto	1434 18th St.San Francisco, CA 94107	13.0
2	Aquitaine	"175 Sutter St.San Francisco, CA 94104 | Menu

 |"	13.0
3	Arguello	Presidio Officers Club50 Moraga Ave.San Francisco, CA 941	13.0
4	Arya Global Cuisine	885 Middlefield Rd.Redwood City, CA 94063	13.0
5	AsiaSF	201 Ninth St.San Francisco, CA 94103	13.0
6	Avatar's Restaurant	2656 BridgewaySausalito, CA 94965	13.0
7	Bacco	737 Diamond St.San Francisco, CA 94114	13.0
8	Bacheesos	2650 Telegraph Ave.Berkeley, CA 947	13.0
9	Baker Street Bistro	2953 Baker St.San Francisco, CA 94123	13.0
0	Balboa Cafe	3199 Fillmore St.San Francisco, CA 94123	13.0
1	Bangkok Thai Express	857 Fourth St.San Rafael, CA 94901	13.0
2	Barlago Italian Kitchen	550 Grand Ave.Oakland, CA 94610	13.0
3	Barrel House Tavern	660 BridgewaySausalito, CA 949	13.0
4	The Barrel Room	415 Sansome St.San Francisco, CA 941	13.0
5	Basil Thai Restaurant & Bar	1175 Folsom St.San Francisco, CA 94103	13.0
6	Battambang	850 BroadwayOakland, CA 94607	13.0
7	Bay 223	Sofitel San Francisco Bay223 Twin Dolphin Dr.Redwood City, CA 94065	13.0
8	Belden Taverna	52 Belden Pl.San Francisco, CA 94104	13.0
9	Belga	2000 Union St.San Francisco, CA 941	13.0
0	Bella Trattoria Italiana	3854 Geary Blvd.San Francisco, CA 94118	13.0
1	Benchmark Pizzeria	1568 Oak View Ave.Kensington, CA 94706	13.0
2	Beretta	1199 Valencia St.San Francisco, CA 94110	13.0
3	Bergerac	316 11th St.San Francisco, CA 941	13.0
4	Bette's Oceanview Diner	1807 Fourth St.Berkeley, CA 94710	13.0
5	Bijou Restaurant & Bar	1036 B St.Hayward, CA 94541	13.0
6	Bird Dog	420 Ramona St.Palo Alto, CA 943	13.0
7	Biscuits & Blues	401 Mason St.San Francisco, CA 94102	13.0
8	Bistro 1491	1491 Solano Ave.Albany , CA 94706	13.0
9	Bistro Boudin	Boudin at the Wharf160 Jefferson St.San Francisco, CA 94133	13.0
0	Bistro Maxine	548 Ramona St.Palo Alto, CA 943	13.0
1	Blackhawk Grille	Shops at Blackhawk3540 Blackhawk Plaza CircleDanville, CA 94506	13.0
2	Blue Plate	3218 Mission St.San Francisco, CA 94110	13.0
3	Bobo's Lounge	1434 Lombard St.San Francisco, CA 941	13.0
4	Bob's Steak & Chop House	Omni San Francisco Hotel500 California St.San Francisco, CA 94104	13.0
5	Boca Pizzeria	Pacheco Shopping Center454 Ignacio Blvd.Novato, CA 94949	13.0
6	Boca Pizzeria	The Village at Corte Madera1544 Redwood Hwy.Corte Madera, CA 949	13.0
7	Bon Vivant	535 Bryant St.Palo Alto, CA 94301	13.0
8	Bradley's Fine Diner	1165 Merrill St.Menlo Park, CA 94025	13.0
9	Brandy Ho's Hunan Food	217 Columbus Ave.San Francisco, CA 94133	13.0
0	Breads of India	948 Clay St.Oakland, CA 94607	13.0
1	Breads of India	2448 Sacramento St.Berkeley, CA 94702	13.0
2	Brenda's French Soul Food	652 Polk St.San Francisco, CA 94102	13.0
3	Brenda's Meat & Three	919 Divisadero St.San Francisco, CA 94115	13.0
4	Brindisi	88 Belden Pl.San Francisco, CA 94104	13.0
5	Burma Superstar	309 Clement St.San Francisco, CA 94118	13.0
6	Burma Superstar	4721 Telegraph Ave.Oakland, CA 94609	13.0
7	Burmatown	60 Corte Madera Ave.Corte Madera, CA 949	13.0
8	Burritt Room + Tavern	Mystic Hotel 417 Stockton St.San Francisco, CA 94108	13.0
9	The Butler & The Chef	155A South Park St.San Francisco, CA 94107	13.0
0	C'era Una Volta	1332 Park St.Alameda, CA 94501	13.0
1	Cafe del Sol	1010 Doyle St.Menlo Park, CA 94025	13.0
2	Cafe Rouge	1782 Fourth St.Berkeley, CA 94710	13.0
3	Caffe Centro	102 South Park St.San Francisco, CA 94107	13.0
4	Caffe Sport	574 Green St.San Francisco, CA 94133	13.0
5	Calafia Cafe & Market A-Go-Go	Town & Country Village855 El Camino Real, Ste. 130Palo Alto, CA 94301	13.0
6	Capannina	1809 Union St.San Francisco, CA 94123	13.0
7	Capurro's	498 Jefferson St.San Francisco, CA 94109	13.0
8	Central Kitchen	3000 20th St.San Francisco, CA 94110	13.0
9	Central Park Bistro	181 E. Fourth Ave.San Mateo, CA 94401	13.0
0	Cesar	1515 Shattuck Ave.Berkeley, CA 94709	13.0
1	Cha-Ya Vegetarian Japanese Restaurant	1686 Shattuck Ave.Berkeley, CA 947	13.0
2	Chao Praya	1553 S. Novato Blvd., Ste. GNovato, CA 949	13.0
3	Cheung Hing 	2339 Noriega St.San Francisco, CA 94122	13.0
4	China Village	1335 Solano Ave.Albany, CA 94706	13.0
5	Chloe's	1399 Church St.San Francisco, CA 94114	13.0
6	Chouquet's Restaurant	2500 Washington St.San Francisco, CA 94115	13.0
7	Chow	215 Church St.San Francisco, CA 94114	13.0
8	Chow	La Fiesta Square53 Lafayette Cir.Lafayette, CA 94549	13.0
9	Chubby Noodle	2205 Lombard St.San Francisco, CA  94123	13.0
0	Citrus Club	1790 Haight St.San Francisco, CA 94117	13.0
1	Cliff House Bistro	Cliff House1090 Point Lobos Ave.San Francisco, CA 94121	13.0
2	The Club at McInnis Park	McInnis Park Golf Center350 Smith Ranch Rd.San Rafael, CA 94903	13.0
3	Cocotte	1521 Hyde St.San Francisco, CA 94109	13.0
4	The Commissary	101 Montgomery St.San Francisco, CA 94129	13.0
5	The Counter	1699 N. California Blvd.Walnut Creek, CA 94596	13.0
6	Credo	360 Pine St.San Francisco, CA 94104	13.0
7	CreoLa-A New Orleans Bistro	344 El Camino RealSan Carlos, CA 94070	13.0
8	Crustacean	1475 Polk St.San Francisco, CA 94109	13.0
9	Crystal Jade Jiang Nan	4 Embarcadero Center, Ste. 1San Francisco, CA 941	13.0
0	Cugini	1556 Solano Ave.Albany, CA 94707	13.0
1	Curbside Cafe	2417 California St.San Francisco, CA 94115	13.0
2	Delarosa	2175 Chestnut St.San Francisco, CA 94123	13.0
3	Delica rf1	Ferry Building Marketplace1 Ferry BuildingSan Francisco, CA 94111	13.0
4	Desco	499 9th St.Oakland, CA 94607	13.0
